parcel_feature_id,hex_id,hc_cluster,algo_classification,mistral7b_classification,phi4_classification
1e9d08d7-9b86-4731-b371-e1d9dc8973ec,8a2a8ad5b3b7fff,0,Agricultural Land (Vacant),Agricultural Land,Agricultural Land
1e9d08d7-9b86-4731-b371-e1d9dc8973ec,8a2a8ac6651ffff,0,Agricultural Land (Vacant),Agricultural Land,Agricultural Land
1e9d08d7-9b86-4731-b371-e1d9dc8973ec,8a2a8ac66417fff,0,Agricultural Land (Vacant),Agricultural Land,Agricultural Land
083dd4b4-8a62-40db-98e3-8edc9f0bf4f1,8a2a8ac6515ffff,0,Government/Public (Vacant),Government/Public,Government/Public
1643f3a6-355e-45a2-9498-f2a5a7de87d9,8a2a8ac60d77fff,0,Government/Public (Vacant),Government/Public,Government/Public
33062664-ec74-4ac2-9777-085ef1b814c2,8a2a8ad4a8e7fff,0,Single-Family Residential (Vacant),Residential (unspecified),Single-Family Residential
3bec148d-bed5-4cdf-bfb8-cfef895bab00,8a2a8ac6066ffff,0,Multi-Family Residential,Multi-Family Residential,Multi-Family Residential
3bec148d-bed5-4cdf-bfb8-cfef895bab00,8a2a8ac6064ffff,0,Multi-Family Residential,Multi-Family Residential,Multi-Family Residential
8dfa2cbb-d342-4335-8dbe-6c99b0cc026f,8a2a8ac65317fff,0,Multi-Family Residential,Multi-Family Residential,Multi-Family Residential
f79de970-e857-4a6c-bd14-d4326df7ed88,8a2a8ac61d4ffff,0,Institutional (Vacant),Institutional,Institutional
f79de970-e857-4a6c-bd14-d4326df7ed88,8a2a8ac656cffff,0,Institutional (Vacant),Institutional,Institutional
f79de970-e857-4a6c-bd14-d4326df7ed88,8a2a8ac61d6ffff,0,Institutional (Vacant),Institutional,Institutional
f79de970-e857-4a6c-bd14-d4326df7ed88,8a2a8ac61c07fff,0,Institutional (Vacant),Institutional,Institutional
f79de970-e857-4a6c-bd14-d4326df7ed88,8a2a8ac61997fff,0,Institutional (Vacant),Institutional,Institutional
8ab343ea-9326-40c3-9bde-caa9ff3a4805,8a2a8ac65c9ffff,0,Institutional (Vacant),Institutional,Institutional
f53cab46-1aa3-4ad4-9daa-2e4a79fcb2be,8a2a8a892097fff,0,Single-Family Residential (Vacant),Single-Family Residential,Single-Family Residential
c2890f1e-4b3f-4fb6-a25f-39c1d69898f4,8a2a8ac61c07fff,0,Institutional (Vacant),Institutional,Institutional
c2890f1e-4b3f-4fb6-a25f-39c1d69898f4,8a2a8ac61cc7fff,0,Institutional (Vacant),Institutional,Institutional
c2890f1e-4b3f-4fb6-a25f-39c1d69898f4,8a2a8ac61cf7fff,0,Institutional (Vacant),Institutional,Institutional
c2890f1e-4b3f-4fb6-a25f-39c1d69898f4,8a2a8ac61ceffff,0,Institutional (Vacant),Institutional,Institutional
c143d2fb-1f58-455c-9ff6-a61565d28f09,8a2a8ac61ae7fff,0,Government/Public (Vacant),Commercial,Institutional
c143d2fb-1f58-455c-9ff6-a61565d28f09,8a2a8ac61a57fff,0,Government/Public (Vacant),Commercial,Institutional
058d728b-6aba-4ad4-aae4-c6824fbf423d,8a2a8ad4bd97fff,0,Single-Family Residential (Vacant),Single-Family Residential,Single-Family Residential
04e25afd-8a3c-4cd7-9c20-64e72cbeecb8,8a2a8ad4878ffff,0,Single-Family Residential (Vacant),Single-Family Residential,Single-Family Residential
04e25afd-8a3c-4cd7-9c20-64e72cbeecb8,8a2a8ad48797fff,0,Single-Family Residential (Vacant),Single-Family Residential,Single-Family Residential
4f639ba1-d0c1-42c8-9249-8b84659dd70a,8a2a8ac65a2ffff,0,Single-Family Residential (Vacant),Single-Family Residential,Single-Family Residential
87d1cf80-8062-4156-8ba0-029f0cda9a5b,8a2a8ac6535ffff,0,Single-Family Residential (Vacant),Single-Family Residential,Single-Family Residential
9a155786-cd04-4053-97e6-a91806e1ea84,8a2a8ac6535ffff,0,Single-Family Residential (Vacant),Single-Family Residential,Single-Family Residential
9a155786-cd04-4053-97e6-a91806e1ea84,8a2a8ac65357fff,0,Single-Family Residential (Vacant),Single-Family Residential,Single-Family Residential
8d7e03f3-1844-46a0-ae08-37143a5f2d04,8a2a8ac6c967fff,0,Commercial (Vacant),Commercial,Government/Public
57763d5e-32b4-4d44-bf03-28d434f11daa,8a2a8ac6cc57fff,0,Single-Family Residential (Vacant),Residential (unspecified),Single-Family Residential
62f26de0-3202-4134-b649-2b74635e05f1,8a2a8ac6064ffff,0,Unclassified,Unclassified,Institutional
e8f3af0d-0ef2-481b-9d57-4c7808effe2a,8a2a8ac65b6ffff,0,Government/Public (Vacant),Government/Public,Government/Public
08c46ea6-417c-47a5-8078-3655a0de5484,8a2a8ac663affff,0,Single-Family Residential (Vacant),Unclassified,Mixed Use
d283d3c9-eda9-4c52-883c-10a6a85e21be,8a2a8ad5b26ffff,0,Single-Family Residential (Vacant),Agricultural Land,Residential (unspecified)
986fc9de-0660-4fa6-97cd-6eecfdb5b273,8a2a8ad4a2b7fff,0,Single-Family Residential (Vacant),Unclassified,Unclassified
10548b9e-3369-44c9-bd37-d4e985451a66,8a2a8ad4b01ffff,0,Single-Family Residential (Vacant),Single-Family Residential,Single-Family Residential
71c510d7-a81f-4d85-98dd-80aad4252bf4,8a2a8ac64c1ffff,0,Agricultural Land (Vacant),Agricultural Land,Agricultural Land
adf83fec-9f41-4ca3-8da9-bb11da4360f8,8a2a8a8966e7fff,0,Government/Public (Vacant),Government/Public,Government/Public
aaf9f699-4657-4463-a803-0f5ebfe5ad28,8a2a8ac6c867fff,0,Commercial (Vacant),Commercial,Mixed Use
ab7edfe1-9f34-4e58-adb4-48ad07750c97,8a2a8ac6c207fff,0,Commercial (Vacant),Commercial,Commercial
ab7edfe1-9f34-4e58-adb4-48ad07750c97,8a2a8ac6c38ffff,0,Commercial (Vacant),Commercial,Commercial
62cba37d-c6d1-4512-8f1d-bc6f5b0b7031,8a2a8a8936e7fff,0,Commercial (Vacant),Industrial,Industrial
62cba37d-c6d1-4512-8f1d-bc6f5b0b7031,8a2a8a8936cffff,0,Commercial (Vacant),Industrial,Industrial
62cba37d-c6d1-4512-8f1d-bc6f5b0b7031,8a2a8a893637fff,0,Commercial (Vacant),Industrial,Industrial
62cba37d-c6d1-4512-8f1d-bc6f5b0b7031,8a2a8a89362ffff,0,Commercial (Vacant),Industrial,Industrial
7d4b8cca-b237-416a-8bdb-dd04b528a011,8a2a8ac60c47fff,0,Commercial (Vacant),Unclassified,Commercial
96447ad6-b227-4f67-8623-877efe148a1a,8a2a8ad4aad7fff,0,Government/Public (Vacant),Government/Public,Government/Public
52764d98-7aea-45cd-9e16-2a2592a6d36a,8a2a8ac6481ffff,0,Government/Public (Vacant),Government/Public,Government/Public
52764d98-7aea-45cd-9e16-2a2592a6d36a,8a2a8ac64877fff,0,Government/Public (Vacant),Government/Public,Government/Public
b673db11-e34f-408e-938d-73e3dcef172f,8a2a8ac6585ffff,0,Government/Public (Vacant),Government/Public,Government/Public
b673db11-e34f-408e-938d-73e3dcef172f,8a2a8ac658effff,0,Government/Public (Vacant),Government/Public,Government/Public
c011faaf-cc93-4b17-af36-3652f291b399,8a2a8ad4aa67fff,0,Unclassified,Unclassified,Residential (unspecified)
8725d825-6ca0-4d73-86d9-816764efc768,8a2a8ac63107fff,0,Single-Family Residential (Vacant),Single-Family Residential,Single-Family Residential
768e3731-cf53-4c47-9405-2d0cfd71ef0f,8a2a8ad4aa87fff,0,Single-Family Residential (Vacant),Unclassified,Unclassified
7ca464c1-9605-48bd-b049-adcca42db726,8a2a8ad59a07fff,0,Single-Family Residential (Vacant),Single-Family Residential,Single-Family Residential
808e9ac2-48ae-41b2-aad3-6fd2eb84c1a3,8a2a8ac64167fff,0,Multi-Family Residential (Vacant),Unclassified,Mixed Use
9ddf31c3-2f26-43fe-bf25-09d845bbec84,8a2a8ad484affff,0,Unclassified,Unclassified,Residential (unspecified)
a28998f2-dad4-4a23-97b3-a6b8bcdf64e7,8a2a8ad4b08ffff,0,Government/Public (Vacant),Government/Public,Government/Public
a28998f2-dad4-4a23-97b3-a6b8bcdf64e7,8a2a8ad4b72ffff,0,Government/Public (Vacant),Government/Public,Government/Public
a28998f2-dad4-4a23-97b3-a6b8bcdf64e7,8a2a8ad4b0d7fff,0,Government/Public (Vacant),Government/Public,Government/Public
a6cffc70-9f9f-4893-b3cd-a8aae8305f17,8a2a8a892797fff,0,Institutional (Vacant),Institutional,Institutional
b81aef2f-5d18-42b6-b015-44d73f5cfd04,8a2a8ad4b31ffff,0,Single-Family Residential (Vacant),Single-Family Residential,Single-Family Residential
b2b198f1-5d62-4c21-844d-8e9b2d19d7aa,8a2a8a892ac7fff,0,Single-Family Residential (Vacant),Unclassified,Residential (unspecified)
e8e12ce2-a377-4a24-9436-72d2b78a9ad1,8a2a8a8924cffff,0,Institutional (Vacant),Institutional,Institutional
b4650179-128b-4dc3-8151-fd6796d47393,8a2a8a892cb7fff,0,Single-Family Residential (Vacant),Single-Family Residential,Single-Family Residential
c2eeb7f5-aa1f-40cc-931f-8ce790b7dd0f,8a2a8ac6585ffff,0,Unclassified,Government/Public,Government/Public
d39084a6-0530-4165-b603-72c0f2e25482,8a2a8ac65d57fff,0,Single-Family Residential (Vacant),Single-Family Residential,Single-Family Residential
d4292101-606a-4a02-b891-3f2f92c1ff72,8a2a8a8967a7fff,0,Single-Family Residential (Vacant),Single-Family Residential,Single-Family Residential
3e1149ff-642a-4029-ba80-98d1a6ba5c5c,8a2a8ac63157fff,0,Government/Public (Vacant),Government/Public,Infrastructure
49268bf6-b03a-4bc5-b647-adfb838ef1bd,8a2a8a892047fff,0,Single-Family Residential,Multi-Family Residential,Multi-Family Residential
6804b434-f666-452b-8bf3-2f234ff5746b,8a2a8a89650ffff,0,Single-Family Residential (Vacant),Single-Family Residential,Single-Family Residential
e6a0a85b-8958-4049-ab57-7fe7cdcc70ec,8a2a8ac65aaffff,0,Single-Family Residential (Vacant),Single-Family Residential,Single-Family Residential
f7a2725e-92c9-43de-8ead-18bd7b311193,8a2a8ac658c7fff,0,Single-Family Residential (Vacant),Single-Family Residential,Single-Family Residential
ec50ddf6-7e63-4fe6-a844-2ad21c031831,8a2a8ad4b21ffff,0,Single-Family Residential (Vacant),Unclassified,Residential (unspecified)
f71abc44-ea3e-474c-a5cc-bff402ab8300,8a2a8ac65a2ffff,0,Single-Family Residential (Vacant),Single-Family Residential,Single-Family Residential
f71abc44-ea3e-474c-a5cc-bff402ab8300,8a2a8ac65b57fff,0,Single-Family Residential (Vacant),Single-Family Residential,Single-Family Residential
f71abc44-ea3e-474c-a5cc-bff402ab8300,8a2a8ac65a27fff,0,Single-Family Residential (Vacant),Single-Family Residential,Single-Family Residential
fdc75b21-d53f-4e98-aa40-bd51f5c400d8,8a2a8ac6502ffff,0,Single-Family Residential (Vacant),Single-Family Residential,Single-Family Residential
fbe3792b-05e7-4d87-8f30-2c667ca17d41,8a2a8ad4b097fff,0,Single-Family Residential (Vacant),Single-Family Residential,Single-Family Residential
7dc9b9c0-343d-4b6d-acfa-a59c3a1cef80,8a2a8ac65107fff,0,Commercial (Vacant),Commercial,Commercial
b8472c40-a764-4459-ad50-3cb32640d7d9,8a2a8ac64167fff,0,Single-Family Residential,Multi-Family Residential,Multi-Family Residential
63d25f86-8cff-4af9-b346-6dcc6da9fd07,8a2a8ad4b25ffff,0,Single-Family Residential (Vacant),Single-Family Residential,Single-Family Residential
477944a6-b80c-49cc-8bc9-6a73edc5bed5,8a2a8ad4a11ffff,0,Agricultural Land (Vacant),Agricultural Land,Agricultural Land
477944a6-b80c-49cc-8bc9-6a73edc5bed5,8a2a8ad4a18ffff,0,Agricultural Land (Vacant),Agricultural Land,Agricultural Land
477944a6-b80c-49cc-8bc9-6a73edc5bed5,8a2a8ad4a777fff,0,Agricultural Land (Vacant),Agricultural Land,Agricultural Land
477944a6-b80c-49cc-8bc9-6a73edc5bed5,8a2a8ad4ad4ffff,0,Agricultural Land (Vacant),Agricultural Land,Agricultural Land
477944a6-b80c-49cc-8bc9-6a73edc5bed5,8a2a8ad4ad67fff,0,Agricultural Land (Vacant),Agricultural Land,Agricultural Land
477944a6-b80c-49cc-8bc9-6a73edc5bed5,8a2a8ad4a0dffff,0,Agricultural Land (Vacant),Agricultural Land,Agricultural Land
477944a6-b80c-49cc-8bc9-6a73edc5bed5,8a2a8ad4a017fff,0,Agricultural Land (Vacant),Agricultural Land,Agricultural Land
96714bdd-7c71-4f89-b5fa-8e6f05597105,8a2a8ac64167fff,0,Single-Family Residential,Multi-Family Residential,Multi-Family Residential
92f3e61c-bbf1-4cc1-891d-d132b8bf52a4,8a2a8a892047fff,0,Multi-Family Residential (Vacant),Unclassified,Mixed Use
00d5cca0-56c3-4da8-a4af-b43a350bb2fa,8a2a8ad4aa87fff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
01f3213c-0f87-4188-bae6-37150f323397,8a2a8ac60717fff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
0830bab8-d73d-4f85-a477-e59b930b4330,8a2a8a896497fff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
145ed885-f966-42ef-95e9-dd52540bd929,8a2a8ac64a6ffff,0,Multi-Family Residential (Vacant),Multi-Family Residential,Multi-Family Residential
108cf522-4c49-411a-a0b1-74ec6ece47cb,8a2a8ac6466ffff,0,Single-Family Residential,Multi-Family Residential,Multi-Family Residential
1622b42b-dc59-447c-9f40-04f69ad45fd6,8a2a8ad4b257fff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
17159dd2-6c49-424c-9b4c-5892e03f413a,8a2a8ac65d2ffff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
17d44988-8d5c-405e-b7fd-81204d177cab,8a2a8ad48467fff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
1904551a-743b-494c-96e4-d413d78f3397,8a2a8ac664cffff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
1b32a2ba-80b9-4744-bb40-ca45e9dd575f,8a2a8ad4b527fff,0,Single-Family Residential,Single-Family Residential,Mixed Use
1cb00e14-d866-4b92-926c-e71190cd7c3d,8a2a8ad4858ffff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
1d9205e8-35ff-4ac9-8009-b9b2e277a670,8a2a8a892517fff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
20285e6c-3aa3-482c-a2a5-8b9ef06f9d9c,8a2a8ac64287fff,0,Single-Family Residential,Multi-Family Residential,Multi-Family Residential
274c8f00-bdd1-4336-b395-7f869431a6bf,8a2a8ad48797fff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
2870d23f-e21c-4c87-8248-1fd41ddf9c1b,8a2a8ac6500ffff,0,Multi-Family Residential,Multi-Family Residential,Mixed Use
2870d23f-e21c-4c87-8248-1fd41ddf9c1b,8a2a8ac6502ffff,0,Multi-Family Residential,Multi-Family Residential,Mixed Use
296603c2-8609-43cf-8ece-b8ebd1733bce,8a2a8ad48797fff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
2e4e750e-6d4a-4635-b984-66c38cb5dd09,8a2a8ad4aa9ffff,0,Agricultural Land,Agricultural Land,Single-Family Residential
2fa3a26c-61c3-42b8-89e8-0dea988f8ce6,8a2a8ac63067fff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
31bcae8f-5115-48ec-ba29-c4a941cdee84,8a2a8ac648d7fff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
34e35c01-fcc1-46e5-8bb8-04a965c0e9c5,8a2a8ac65adffff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
37bc6767-a923-4fbe-a7e2-462c90514547,8a2a8ad4a817fff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
37bc6767-a923-4fbe-a7e2-462c90514547,8a2a8ad4a98ffff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
391578fe-2ee6-4fbe-8acf-5927126327b9,8a2a8ac6008ffff,0,Single-Family Residential,Multi-Family Residential,Multi-Family Residential
3ba90015-4d66-4639-81aa-65a02a10e0cd,8a2a8a892037fff,0,Commercial (Vacant),Commercial,Commercial
441341c1-1f4f-48d5-b363-fcd8471f5a52,8a2a8ac6099ffff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
513ccaeb-27a5-4407-8aaf-1b9b03f3ae14,8a2a8ac65317fff,0,Single-Family Residential,Multi-Family Residential,Multi-Family Residential
553cdac8-e0ec-48c4-a76d-57a9a885d47a,8a2a8ac64b07fff,0,Single-Family Residential,Multi-Family Residential,Multi-Family Residential
55642148-9786-4145-9a2b-649bb38ee522,8a2a8a892167fff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
59942bb0-4bdb-47d2-ab42-46906508e1ad,8a2a8ac6526ffff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
5a58e966-e485-494e-b583-e23ba7b1b690,8a2a8ac6502ffff,0,Single-Family Residential,Single-Family Residential,Mixed Use
5f4eb33a-f173-4e9d-aed0-c8c60960bb50,8a2a8ad4b997fff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
655e953a-269c-4757-8997-735e7cb6bf01,8a2a8ac6351ffff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
667b1b87-30b7-41f0-9cd4-2b06dcf43421,8a2a8ac65adffff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
66b06f11-5d91-4f34-8796-86557827d418,8a2a8ac66b67fff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
69f60fa8-da59-47c4-a390-f0660a19a2a2,8a2a8ac65a27fff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
7227f772-5825-4423-8b63-444de34e64fc,8a2a8ad4b64ffff,0,Multi-Family Residential,Multi-Family Residential,Multi-Family Residential
72314ab5-4c19-4203-9620-8214c1fbd78a,8a2a8ad4b997fff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
73af445c-89ee-4adc-a570-9dcaa38e05c1,8a2a8ac65327fff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
74f903b4-8973-4345-868b-a5dcd89f6057,8a2a8ac648d7fff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
75d2f30a-b858-489c-a442-2055e1e8b364,8a2a8ac64b1ffff,0,Single-Family Residential,Multi-Family Residential,Multi-Family Residential
7957a24d-7f62-4616-a49c-3b44f22ee121,8a2a8ac65337fff,0,Multi-Family Residential,Multi-Family Residential,Multi-Family Residential
79e40197-6cbd-45be-8841-ee4d3e84ad2c,8a2a8ad4a31ffff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
7b85841d-8167-407b-a1b1-4017ef7baa54,8a2a8ad4a98ffff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
7c1b8116-d86f-484f-8200-bebd795588b6,8a2a8ad4a31ffff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
7d57cb8a-2792-409e-9699-0d3252613895,8a2a8ac6cc17fff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
858b7653-0543-4fdf-9a18-3ff151a7d5a2,8a2a8ac66a77fff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
85ecad48-29ac-4b37-a608-2420d5a90967,8a2a8ac6464ffff,0,Commercial (Vacant),Commercial,Commercial
943846fe-279f-4273-b83b-3c2c4042d51e,8a2a8ad480a7fff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
986d5070-dd1b-4976-b074-1e282c578083,8a2a8ac60c2ffff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
99be19b3-94f3-46bc-8bd1-e65164560869,8a2a8ad4aa9ffff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
99c0660b-bce2-4c09-bec0-afad04ed4a4f,8a2a8ad4ab67fff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
9bdad1c4-7d00-4944-baed-5503e914c2cb,8a2a8a892887fff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
9c5b4c30-2d3b-4ae1-9108-ba5bfc6a9c3a,8a2a8ad4e2b7fff,0,Single-Family Residential (Vacant),Single-Family Residential,Single-Family Residential
9e894c8d-a81c-4ab8-a796-b789c83fc01a,8a2a8ac66baffff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
9f101c13-0ae9-4b10-bf5c-330dfabbef16,8a2a8ad4b097fff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
a2fa4c3f-f498-4e3e-83d3-d521091c8eb1,8a2a8ac64b07fff,0,Single-Family Residential,Multi-Family Residential,Multi-Family Residential
a340af35-6df4-436f-bdcb-f319a65d4305,8a2a8ad4b097fff,0,Single-Family Residential,Single-Family Residential,Single-Family Residential
a3fabf3a-f735-44f4-b502-957b46f20f62,8a2a8ac6514ffff,0,Commercial,Commercial,Mixed Use
