feature_id,region_id,cluster_id,color,centroid_lat,centroid_lon,area_degrees_sq,geometry_json,rag_text
192,8a2a8ad4bd2ffff,-1,#808080,37.25554470928849,-80.40550183548258,1.4303929312905374e-06,"{""coordinates"":[[[-80.40532267324848,37.256164204916395],[-80.40614724345251,37.25597434497824],[-80.40632639442991,37.25535484774744],[-80.40568099343619,37.25492521453225],[-80.40485643903381,37.255115067931804],[-80.40467726982368,37.25573456108502],[-80.40532267324848,37.256164204916395]]],""type"":""Polygon""}","H3 region 8a2a8ad4bd2ffff is feature 192. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.255545, longitude -80.405502. Its display color is #808080."
276,8a2a8ac65ce7fff,-1,#808080,37.23258652720476,-80.41983198480882,1.4291941005042514e-06,"{""coordinates"":[[[-80.41965309430329,37.23320582595852],[-80.4204772052812,37.23301594102335],[-80.42065608454202,37.2323966406712],[-80.42001087104414,37.23196722932479],[-80.41918677584665,37.23215710771948],[-80.41900787836678,37.232776404000944],[-80.41965309430329,37.23320582595852]]],""type"":""Polygon""}","H3 region 8a2a8ac65ce7fff is feature 276. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.232587, longitude -80.419832. Its display color is #808080."
290,8a2a8ac63c5ffff,-1,#808080,37.2103164652269,-80.45624793288479,1.427990905794717e-06,"{""coordinates"":[[[-80.4560695984788,37.21093560068598],[-80.45689315977734,37.21074553761565],[-80.45707148295213,37.210126400567844],[-80.45642626304016,37.20969733064572],[-80.45560271749171,37.20988738716651],[-80.45542437610533,37.210506520158845],[-80.4560695984788,37.21093560068598]]],""type"":""Polygon""}","H3 region 8a2a8ac63c5ffff is feature 290. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.210316, longitude -80.456248. Its display color is #808080."
458,8a2a8a89278ffff,-1,#808080,37.20637310692079,-80.40818011075285,1.4278760618281426e-06,"{""coordinates"":[[[-80.40800116610642,37.206992145771906],[-80.40882488271967,37.20680242426533],[-80.40900381613265,37.20618338381431],[-80.40835905112877,37.205754068943264],[-80.40753535028375,37.2059437839163],[-80.40735639867455,37.206562820293804],[-80.40800116610642,37.206992145771906]]],""type"":""Polygon""}","H3 region 8a2a8a89278ffff is feature 458. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.206373, longitude -80.408180. Its display color is #808080."
538,8a2a8ad5b297fff,-1,#808080,37.250065505384285,-80.47941680096845,1.4299793358560157e-06,"{""coordinates"":[[[-80.47923862085456,37.25068504154527],[-80.4800627542345,37.25049469261165],[-80.4802409231006,37.249875154865535],[-80.47959497683453,37.24944597010201],[-80.47877085922065,37.24963631247379],[-80.47859267210694,37.250255846170816],[-80.47923862085456,37.25068504154527]]],""type"":""Polygon""}","H3 region 8a2a8ad5b297fff is feature 538. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.250066, longitude -80.479417. Its display color is #808080."
539,8a2a8ac63897fff,-1,#808080,37.21169580504616,-80.45277528238901,1.4280676396645136e-06,"{""coordinates"":[[[-80.45259689772602,37.21231494912681],[-80.45342049872225,37.21212490540482],[-80.45359887215308,37.211505759734564],[-80.45295366279957,37.21107666184305],[-80.45213007755585,37.21126669901645],[-80.4519516859133,37.21188584062984],[-80.45259689772602,37.21231494912681]]],""type"":""Polygon""}","H3 region 8a2a8ac63897fff is feature 539. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.211696, longitude -80.452775. Its display color is #808080."
542,8a2a8ad4b8a7fff,-1,#808080,37.25191775722625,-80.40116349895088,1.4302153019527117e-06,"{""coordinates"":[[[-80.40098429376786,37.25253721352205],[-80.40180882196057,37.25234739487819],[-80.4019880158882,37.25172793697865],[-80.40134269985215,37.25129830180183],[-80.40051818746059,37.25148811390891],[-80.40033897530411,37.25210756772946],[-80.40098429376786,37.25253721352205]]],""type"":""Polygon""}","H3 region 8a2a8ad4b8a7fff is feature 542. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.251918, longitude -80.401163. Its display color is #808080."
543,8a2a8ac60237fff,-1,#808080,37.21850011715292,-80.44081814505655,1.428436770501571e-06,"{""coordinates"":[[[-80.44063957971606,37.219119310134644],[-80.44146335251673,37.21892932648727],[-80.44164190662086,37.21831013191277],[-80.44099670613832,37.21788092504738],[-80.44017294909975,37.21807090214921],[-80.43999437678181,37.21869009266186],[-80.44063957971606,37.219119310134644]]],""type"":""Polygon""}","H3 region 8a2a8ac60237fff is feature 543. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.218500, longitude -80.440818. Its display color is #808080."
544,8a2a8ad59ab7fff,-1,#808080,37.25886528223154,-80.44379417949176,1.4304938371800293e-06,"{""coordinates"":[[[-80.4436155031903,37.2594848565911],[-80.44443995274062,37.25929472358491],[-80.44461861778714,37.25867514763136],[-80.44397285152863,37.25824570874708],[-80.44314841776554,37.25843583520187],[-80.4429697344739,37.259055407092234],[-80.4436155031903,37.2594848565911]]],""type"":""Polygon""}","H3 region 8a2a8ad59ab7fff is feature 544. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.258865, longitude -80.443794. Its display color is #808080."
549,8a2a8a896297fff,-1,#808080,37.22197972686604,-80.39059238709561,1.4287044656671816e-06,"{""coordinates"":[[[-80.39041315581571,37.222598889879045],[-80.39123722060809,37.22240923903892],[-80.39141644064568,37.22179007442109],[-80.39077161409462,37.22136056472444],[-80.38994756508835,37.22155020903483],[-80.38976832684723,37.2221693695715],[-80.39041315581571,37.222598889879045]]],""type"":""Polygon""}","H3 region 8a2a8a896297fff is feature 549. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.221980, longitude -80.390592. Its display color is #808080."
551,8a2a8ac60027fff,-1,#808080,37.22560007739001,-80.44261591147128,1.4287961800247222e-06,"{""coordinates"":[[[-80.44243734319251,37.22621933906975],[-80.44326122906612,37.226029320419514],[-80.44343978610537,37.225410057147094],[-80.44279447549083,37.22498081658638],[-80.44197060538318,37.225170828689635],[-80.4417920301243,37.22579008790047],[-80.44243734319251,37.22621933906975]]],""type"":""Polygon""}","H3 region 8a2a8ac60027fff is feature 551. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.225600, longitude -80.442616. Its display color is #808080."
552,8a2a8ac60daffff,-1,#808080,37.234227789948505,-80.44781998735799,1.4292275275466293e-06,"{""coordinates"":[[[-80.44764145478717,37.234847138832805],[-80.44846546407766,37.23465705696891],[-80.44864398540534,37.23403770649274],[-80.44799851567024,37.23360844194051],[-80.44717452214913,37.23379851725469],[-80.44699598259395,37.23441786367071],[-80.44764145478717,37.234847138832805]]],""type"":""Polygon""}","H3 region 8a2a8ac60daffff is feature 552. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.234228, longitude -80.447820. Its display color is #808080."
553,8a2a8ac65597fff,-1,#808080,37.23135622807272,-80.4301872388653,1.4291126408164154e-06,"{""coordinates"":[[[-80.4300084876012,37.23197552819527],[-80.43083252955606,37.23178557626245],[-80.43101126957689,37.23116627454402],[-80.43036598586382,37.230736928824946],[-80.42954195968407,37.23092687421409],[-80.42936320144246,37.23154617186584],[-80.4300084876012,37.23197552819527]]],""type"":""Polygon""}","H3 region 8a2a8ac65597fff is feature 553. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.231356, longitude -80.430187. Its display color is #808080."
556,8a2a8ac6cb4ffff,-1,#808080,37.18969062516165,-80.39532323852174,1.4270472356254646e-06,"{""coordinates"":[[[-80.39514418877674,37.19030949171385],[-80.39596767965993,37.19011991141509],[-80.39614671817816,37.18950104326075],[-80.39550228399368,37.18907175948241],[-80.39467880887338,37.189261333253796],[-80.39449975217485,37.18988019733079],[-80.39514418877674,37.19030949171385]]],""type"":""Polygon""}","H3 region 8a2a8ac6cb4ffff is feature 556. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.189691, longitude -80.395323. Its display color is #808080."
557,8a2a8ac61a27fff,-1,#808080,37.207570897105285,-80.41552264552847,1.4279240929897407e-06,"{""coordinates"":[[[-80.41534379187169,37.20818995631745],[-80.41616749499418,37.20800018073012],[-80.41634633741754,37.20738111991971],[-80.4157014949176,37.20695183876733],[-80.41487780756103,37.20714160781862],[-80.41469894693863,37.20776066455823],[-80.41534379187169,37.20818995631745]]],""type"":""Polygon""}","H3 region 8a2a8ac61a27fff is feature 557. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.207571, longitude -80.415523. Its display color is #808080."
558,8a2a8ac66c87fff,-1,#808080,37.24815418632569,-80.46765662469357,1.4299031126418468e-06,"{""coordinates"":[[[-80.46747829861441,37.24877369007601],[-80.46830245399897,37.24858342781229],[-80.46848076883022,37.24796392247413],[-80.46783494652024,37.24753468345304],[-80.46701080690559,37.24772493915895],[-80.4668324738312,37.24834444044365],[-80.46747829861441,37.24877369007601]]],""type"":""Polygon""}","H3 region 8a2a8ac66c87fff is feature 558. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.248154, longitude -80.467657. Its display color is #808080."
561,8a2a8ad4a72ffff,-1,#808080,37.258899929748964,-80.42608259575985,1.4305275414509057e-06,"{""coordinates"":[[[-80.42590368884312,37.2595194824104],[-80.42672822115142,37.259329470692336],[-80.42690711681163,37.25870991643272],[-80.4262614984043,37.25828037796099],[-80.42543698189095,37.258470383133364],[-80.42525806799019,37.25908993332304],[-80.42590368884312,37.2595194824104]]],""type"":""Polygon""}","H3 region 8a2a8ad4a72ffff is feature 561. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.258900, longitude -80.426083. Its display color is #808080."
569,8a2a8ac61147fff,-1,#808080,37.20876824826046,-80.42286550023915,1.427972072125734e-06,"{""coordinates"":[[[-80.42268673758603,37.20938732782011],[-80.42351042718872,37.209197498151205],[-80.4236891786085,37.20857841699501],[-80.42304425862758,37.20814916957568],[-80.42222058478839,37.208338992706004],[-80.42204181516679,37.20895806979413],[-80.42268673758603,37.20938732782011]]],""type"":""Polygon""}","H3 region 8a2a8ac61147fff is feature 569. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.208768, longitude -80.422866. Its display color is #808080."
574,8a2a8ad4878ffff,-1,#808080,37.2600711714141,-80.40342295537423,1.4306280102676868e-06,"{""coordinates"":[[[-80.40324374925311,37.26069070676326],[-80.40406840657076,37.26050084665891],[-80.40424760143286,37.25988130970611],[-80.40360215721313,37.25945163693621],[-80.40277751570103,37.259641490502084],[-80.4025983026033,37.26026102337623],[-80.40324374925311,37.26069070676326]]],""type"":""Polygon""}","H3 region 8a2a8ad4878ffff is feature 574. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.260071, longitude -80.403423. Its display color is #808080."
575,8a2a8ad4a2a7fff,-1,#808080,37.25527358370301,-80.42174248200074,1.4303499865934096e-06,"{""coordinates"":[[[-80.42156353208101,37.25589309705232],[-80.42238802243067,37.25570312665065],[-80.42256696109521,37.25508361170229],[-80.42192142764699,37.254654071226874],[-80.42109695309178,37.2548440350847],[-80.42091799619052,37.25546354596169],[-80.42156353208101,37.25589309705232]]],""type"":""Polygon""}","H3 region 8a2a8ad4a2a7fff is feature 575. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.255274, longitude -80.421742. Its display color is #808080."
579,8a2a8a8966cffff,-1,#808080,37.2200329157985,-80.39653975952848,1.428594444879062e-06,"{""coordinates"":[[[-80.3963606128076,37.22065206802076],[-80.39718461681873,37.22046238265086],[-80.39736375229876,37.21984322882526],[-80.39671890197138,37.21941376444827],[-80.3958949137425,37.21960344328675],[-80.39571576005892,37.220222593033554],[-80.3963606128076,37.22065206802076]]],""type"":""Polygon""}","H3 region 8a2a8a8966cffff is feature 579. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.220033, longitude -80.396540. Its display color is #808080."
580,8a2a8ac64b37fff,-1,#808080,37.24550244629136,-80.42148671636146,1.4298510772045025e-06,"{""coordinates"":[[[-80.4213077994112,37.246121867941184],[-80.42213212371364,37.24593193046012],[-80.42231102941325,37.24531250721165],[-80.42166562903986,37.244883025515],[-80.4208413205256,37.24507295645349],[-80.4206623965967,37.24569237563109],[-80.4213077994112,37.246121867941184]]],""type"":""Polygon""}","H3 region 8a2a8ac64b37fff is feature 580. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.245502, longitude -80.421487. Its display color is #808080."
581,8a2a8ad4b8f7fff,-1,#808080,37.249819593032704,-80.40023131077888,1.4301097327307353e-06,"{""coordinates"":[[[-80.40005210127512,37.25043902854379],[-80.40087659786602,37.25024922297322],[-80.40105579611529,37.24962978585825],[-80.4004105160009,37.249200158392966],[-80.39958603521018,37.24938995742733],[-80.39940681873387,37.25000939046308],[-80.40005210127512,37.25043902854379]]],""type"":""Polygon""}","H3 region 8a2a8ad4b8f7fff is feature 581. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.249820, longitude -80.400231. Its display color is #808080."
582,8a2a8a89211ffff,-1,#808080,37.21260349555193,-80.39868916111999,1.428211164847579e-06,"{""coordinates"":[[[-80.39851006996113,37.21322258090759],[-80.3993339369827,37.21303290450234],[-80.39951301690435,37.212413817544224],[-80.3988682480031,37.21198441106873],[-80.39804439675798,37.21217408094275],[-80.39786529863783,37.212793163823385],[-80.39851006996113,37.21322258090759]]],""type"":""Polygon""}","H3 region 8a2a8a89211ffff is feature 582. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.212603, longitude -80.398689. Its display color is #808080."
583,8a2a8a8925b7fff,-1,#808080,37.2158089117962,-80.41237333791383,1.4283504400287449e-06,"{""coordinates"":[[[-80.41219441273094,37.21642804422475],[-80.41301827128054,37.216238263903854],[-80.41319718522585,37.21561912987592],[-80.41255225882622,37.21518978024128],[-80.41172841604927,37.21537955402614],[-80.4115494838995,37.215998683981574],[-80.41219441273094,37.21642804422475]]],""type"":""Polygon""}","H3 region 8a2a8a8925b7fff is feature 583. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.215809, longitude -80.412373. Its display color is #808080."
585,8a2a8ac6caeffff,-1,#808080,37.18750496353343,-80.39979853742715,1.4269276958676303e-06,"{""coordinates"":[[[-80.39961955394499,37.188123815187595],[-80.40044298680348,37.1879342112423],[-80.40062195906025,37.18731535798715],[-80.39997751663854,37.18688611275271],[-80.3991540995396,37.18707571016944],[-80.39897510910299,37.187694559349055],[-80.39961955394499,37.188123815187595]]],""type"":""Polygon""}","H3 region 8a2a8ac6caeffff is feature 585. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.187505, longitude -80.399799. Its display color is #808080."
602,8a2a8ac6c99ffff,-1,#808080,37.199274558101365,-80.40638808244326,1.4275168040203104e-06,"{""coordinates"":[[[-80.40620914086996,37.1998935282344],[-80.40703274442298,37.1997038416442],[-80.40721167476592,37.19908486991117],[-80.40656701974646,37.19865558884197],[-80.40574343195783,37.19884526890006],[-80.40556448342448,37.199464236559336],[-80.40620914086996,37.1998935282344]]],""type"":""Polygon""}","H3 region 8a2a8ac6c99ffff is feature 602. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.199275, longitude -80.406388. Its display color is #808080."
610,8a2a8ad4a907fff,-1,#808080,37.27047371232289,-80.41350164211683,1.4311417762839331e-06,"{""coordinates"":[[[-80.41332252845788,37.271093357489434],[-80.41414731723026,37.2709033951333],[-80.41432641962622,37.270283748365024],[-80.41368075149607,37.26985406802822],[-80.41285597853168,37.27004402384136],[-80.41267685788962,37.27066366653418],[-80.41332252845788,37.271093357489434]]],""type"":""Polygon""}","H3 region 8a2a8ad4a907fff is feature 610. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.270474, longitude -80.413502. Its display color is #808080."
674,8a2a8a892baffff,-1,#808080,37.2111647476234,-80.38987761650135,1.4281533644045564e-06,"{""coordinates"":[[[-80.38969841615977,37.21178380850388],[-80.39052229929219,37.211594197016936],[-80.39070148839646,37.21097513453198],[-80.39005681256364,37.21054568761462],[-80.38923294521054,37.210735292573375],[-80.38905373791114,37.21135435097757],[-80.38969841615977,37.21178380850388]]],""type"":""Polygon""}","H3 region 8a2a8a892baffff is feature 674. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.211165, longitude -80.389878. Its display color is #808080."
675,8a2a8ad592effff,-1,#808080,37.249572300248545,-80.44647377198095,1.4300140309154443e-06,"{""coordinates"":[[[-80.44629516501398,37.2501917910255],[-80.44711944307956,37.25000166934287],[-80.44729803879615,37.249382176973015],[-80.44665237468611,37.24895281034726],[-80.44582811240053,37.24914292547876],[-80.44564949844519,37.24976241378701],[-80.44629516501398,37.2501917910255]]],""type"":""Polygon""}","H3 region 8a2a8ad592effff is feature 675. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.249572, longitude -80.446474. Its display color is #808080."
687,8a2a8ad48787fff,-1,#808080,37.261120391527584,-80.40388920689487,1.4306808105588126e-06,"{""coordinates"":[[[-80.4037100029368,37.26173993726758],[-80.40453467606046,37.26155007062444],[-80.40471386875906,37.26093052328091],[-80.40406840657076,37.26050084665891],[-80.40324374925311,37.26069070676326],[-80.40306453831796,37.26131025002827],[-80.4037100029368,37.26173993726758]]],""type"":""Polygon""}","H3 region 8a2a8ad48787fff is feature 687. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.261120, longitude -80.403889. Its display color is #808080."
695,8a2a8ac60adffff,-1,#808080,37.21963990882745,-80.43587542831676,1.4285039018256856e-06,"{""coordinates"":[[[-80.43569679448142,37.22025910634736],[-80.43652060968958,37.22006915289275],[-80.43669923228762,37.21944995377884],[-80.43605405789106,37.21902071218322],[-80.43523025844789,37.219210659093754],[-80.43505161763645,37.21982985414387],[-80.43569679448142,37.22025910634736]]],""type"":""Polygon""}","H3 region 8a2a8ac60adffff is feature 695. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.219640, longitude -80.435875. Its display color is #808080."
697,8a2a8ac6076ffff,-1,#808080,37.21921773343219,-80.44522510240037,1.4284654624673687e-06,"{""coordinates"":[[[-80.44504659170468,37.21983693859718],[-80.44587035633468,37.219646922489],[-80.44604885579405,37.219027715732246],[-80.44540360883909,37.21859852914376],[-80.44457985996978,37.218788538704885],[-80.44440134229492,37.21940774140145],[-80.44504659170468,37.21983693859718]]],""type"":""Polygon""}","H3 region 8a2a8ac6076ffff is feature 697. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.219218, longitude -80.445225. Its display color is #808080."
708,8a2a8ad4a18ffff,-1,#808080,37.2634269429488,-80.42400554087085,1.43076268148096e-06,"{""coordinates"":[[[-80.42382659010762,37.26404653534651],[-80.42465120954488,37.26385652342827],[-80.42483014904928,37.263236929431656],[-80.4241844873601,37.262807351424186],[-80.42335988372166,37.26299735679687],[-80.42318092597377,37.26361694672247],[-80.42382659010762,37.26404653534651]]],""type"":""Polygon""}","H3 region 8a2a8ad4a18ffff is feature 708. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.263427, longitude -80.424006. Its display color is #808080."
713,8a2a8ad4a40ffff,-1,#808080,37.26276578421586,-80.43189362466028,1.4307146918408868e-06,"{""coordinates"":[[[-80.4317147790082,37.263385380252586],[-80.43253935054976,37.26319531636625],[-80.43271818494397,37.262575718732506],[-80.43207246604186,37.262146189052956],[-80.43124791029527,37.26233624639129],[-80.43106905765605,37.26295583995705],[-80.4317147790082,37.263385380252586]]],""type"":""Polygon""}","H3 region 8a2a8ad4a40ffff is feature 713. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.262766, longitude -80.431894. Its display color is #808080."
716,8a2a8ac6c127fff,-1,#808080,37.19556084027725,-80.40746163584666,1.4273252804126703e-06,"{""coordinates"":[[[-80.40728272201483,37.19617977695884],[-80.40810625712848,37.19599009487419],[-80.4082851597318,37.19537115659304],[-80.40764054540955,37.19494190446954],[-80.40681702605741,37.195131580022185],[-80.40663810526621,37.19575051423022],[-80.40728272201483,37.19617977695884]]],""type"":""Polygon""}","H3 region 8a2a8ac6c127fff is feature 716. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.195561, longitude -80.407462. Its display color is #808080."
717,8a2a8ac6096ffff,-1,#808080,37.23054698074853,-80.43119000479685,1.4290694936141628e-06,"{""coordinates"":[[[-80.43101126957689,37.23116627454402],[-80.43183529304146,37.230976318327954],[-80.43201401701862,37.23035702293684],[-80.43136873575182,37.22992768782792],[-80.4305447280614,37.23011763750008],[-80.43036598586382,37.230736928824946],[-80.43101126957689,37.23116627454402]]],""type"":""Polygon""}","H3 region 8a2a8ac6096ffff is feature 717. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.230547, longitude -80.431190. Its display color is #808080."
719,8a2a8ac64717fff,-1,#808080,37.240703271863474,-80.43979862725921,1.4295728790993695e-06,"{""coordinates"":[[[-80.43961996633747,37.24132267138791],[-80.44044412362595,37.241132623769765],[-80.44062277330087,37.240513222651266],[-80.43997728391783,37.24008387321439],[-80.43915314240644,37.24027391428463],[-80.4389744745012,37.240893311339526],[-80.43961996633747,37.24132267138791]]],""type"":""Polygon""}","H3 region 8a2a8ac64717fff is feature 719. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.240703, longitude -80.439799. Its display color is #808080."
725,8a2a8ac6668ffff,-1,#808080,37.23409732385829,-80.47093296733603,1.4291788915346624e-06,"{""coordinates"":[[[-80.47075473590935,37.23471670012499],[-80.47157863559673,37.234526460415914],[-80.47175685578236,37.23390708256283],[-80.47111119451411,37.23347794847006],[-80.470287310586,37.23366818162197],[-80.47010907216705,37.23428755542371],[-80.47075473590935,37.23471670012499]]],""type"":""Polygon""}","H3 region 8a2a8ac6668ffff is feature 725. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.234097, longitude -80.470933. Its display color is #808080."
853,8a2a8ad4ad5ffff,-1,#808080,37.269003496141046,-80.42239481566942,1.4310506584963718e-06,"{""coordinates"":[[[-80.42221582322173,37.26962313865781],[-80.42304054560722,37.26943312000162],[-80.42321952679335,37.26881347588529],[-80.42257380384144,37.26838385449703],[-80.42174909725914,37.268573866607525],[-80.42157009782574,37.26919350665189],[-80.42221582322173,37.26962313865781]]],""type"":""Polygon""}","H3 region 8a2a8ad4ad5ffff is feature 853. It belongs to DBSCAN cluster -1. Its centroid is latitude 37.269003, longitude -80.422395. Its display color is #808080."
